Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
248,359.429590,56.664325,359.432985,56.661799,674,161,680.681,151.527,1,+2.02933e+06,1.0000,+2356.74,adu,-15.7684,+0.0013,1,E,7129.435059,7049.864275,7188.655395,7007.030762,7191.380744,0.000000,198.189020,157.022803,6,6,6,0,9,15,113.84,0,445,3.22,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
249,359.437994,56.663616,359.433046,56.661802,691,158,680.805,151.533,1,+2.02863e+06,1.0000,+2356.59,adu,-15.7680,+0.0013,1,E,7129.435059,7049.864275,7188.655395,7002.754883,7191.380744,0.000000,198.189020,157.022803,6,6,6,0,9,15,113.84,0,445,12.01,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
250,359.213449,56.661171,359.213188,56.661205,235,160,234.474,160.136,1,+15246.6,1.0000,+636.679,adu,-10.4579,+0.0453,1,E,7006.480225,6981.618151,7014.546438,7004.797852,7014.822907,0.000000,62.348990,52.249629,6,6,6,0,9,15,113.84,0,446,4.03,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
251,359.457187,56.664124,359.462467,56.667640,730,159,741.005,171.732,1,+242606,1.0000,+1062.89,adu,-13.4623,+0.0048,1,E,7022.310547,7015.372555,7067.181992,6995.300293,7069.572559,0.000000,184.038827,78.845937,6,6,6,0,9,15,113.84,0,449,4.26,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
252,359.561573,56.665630,359.561502,56.665764,942,160,941.867,160.498,1,+17165.2,1.0000,+833.368,adu,-10.5866,+0.0527,1,E,6995.005859,6954.453042,7013.905430,6979.454590,7014.558289,0.000000,95.807570,68.879092,6,6,6,0,9,15,113.84,0,448,4.07,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
253,359.390678,56.664105,359.390318,56.664057,595,162,594.264,161.839,1,+102786,1.0000,+2922.57,adu,-12.5298,+0.0309,1,E,7079.356934,7028.819485,7406.332660,7007.885742,7467.817999,0.000000,957.393321,242.954687,6,6,6,0,9,15,113.84,0,445,1.04,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
254,359.449779,56.664575,359.449725,56.664598,715,161,714.893,161.084,1,+72456.4,1.0000,+4238.15,adu,-12.1502,+0.0635,1,E,7114.377197,7049.788263,7376.257278,6996.926758,7405.265676,0.000000,655.561301,353.498008,6,6,6,0,9,15,113.84,0,442,4.08,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
255,359.131178,56.661060,359.131279,56.661214,68,164,68.220,164.561,1,+169778,1.0000,+679.197,adu,-13.0747,+0.0043,1,E,7008.176270,6990.121104,7010.711738,6995.261719,7010.898365,0.000000,51.210951,45.268984,6,6,6,0,9,15,113.84,0,456,4.03,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
256,359.401019,56.664237,359.398406,56.666605,616,162,610.899,170.859,1,+648816,1.0000,+4758.15,adu,-14.5303,+0.0080,1,E,7106.206787,7029.740594,7477.834103,7011.818848,7537.720801,0.000000,949.348126,392.115264,6,6,6,0,9,15,113.84,0,444,4.63,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
257,359.461083,56.665256,359.462451,56.667641,738,163,740.973,171.737,1,+242633,1.0000,+1062.91,adu,-13.4624,+0.0048,1,E,7022.310547,7015.372555,7067.181992,6993.603516,7069.572559,0.000000,184.038827,78.845937,6,6,6,0,9,15,113.84,0,449,4.10,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
258,359.462472,56.667442,359.462457,56.667640,741,171,740.985,171.733,1,+242606,1.0000,+1062.89,adu,-13.4623,+0.0048,1,E,7022.310547,7015.372555,7067.181992,6992.144531,7069.572559,0.000000,184.038827,78.845937,6,6,6,0,9,15,113.84,0,449,4.13,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
259,359.583119,56.669127,359.581125,56.668768,986,172,981.925,170.757,1,+63788.6,1.0000,+638.066,adu,-12.0119,+0.0109,1,E,6987.229492,7000.348672,6988.981045,6981.472168,6989.172594,0.000000,51.802180,49.061768,6,6,6,0,9,15,113.84,0,450,4.20,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
260,359.183352,56.662096,359.183122,56.662004,174,165,173.525,164.672,1,+18340.7,1.0000,+627.244,adu,-10.6585,+0.0371,1,E,7005.061768,6989.799551,7035.501646,6997.636719,7036.873768,0.000000,139.113642,51.210518,6,6,6,0,9,15,113.84,0,444,0.26,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
261,359.510305,56.666390,359.510647,56.666362,838,165,838.692,164.883,1,+25700.5,1.0000,+563.163,adu,-11.0249,+0.0238,1,E,6980.548340,6989.807196,6981.907668,6986.082520,6982.052997,0.000000,45.097731,45.292432,6,6,6,0,9,15,113.84,0,459,4.03,/Users/sl/Documents/Teaching/PHY241/stack_V_300.fit
