Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1128,359.176910,56.793626,359.176764,56.793781,174,651,173.721,651.580,1,+14908.0,1.0000,+743.203,adu,-10.4335,+0.0541,1,E,2581.420532,2589.196154,2612.188362,2559.589600,2614.449995,0.000000,108.845876,61.299292,6,6,6,0,9,15,113.84,0,444,4.22,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1129,359.373485,56.797760,359.373480,56.797774,572,656,571.990,656.049,1,+25233.1,1.0000,+378.044,adu,-11.0049,+0.0163,1,E,2562.226807,2563.235766,2563.848218,2570.536377,2564.005529,0.000000,28.432972,28.774434,6,6,6,0,9,15,113.84,0,458,4.49,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1130,359.430379,56.796882,359.430232,56.797177,687,650,686.728,651.097,1,+4701.70,1.0000,+398.190,adu,-9.1806,+0.0919,1,E,2571.697998,2557.125070,2588.786102,2569.613037,2589.739617,0.000000,70.349096,32.782568,6,6,6,0,9,15,113.84,0,442,86.34,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1131,359.607250,56.799851,359.607450,56.800011,1045,653,1045.417,653.582,1,+11367.4,1.0000,+478.845,adu,-10.1392,+0.0457,1,E,2597.559082,2584.998560,2602.684406,2575.831055,2603.844222,0.000000,77.795996,39.042944,6,6,6,0,9,15,113.84,0,445,4.07,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1132,359.221386,56.794012,359.222240,56.793958,264,650,265.723,649.757,1,+2000.71,1.0000,+315.909,adu,-8.2530,+0.1714,1,E,2557.865479,2560.300307,2554.508272,2560.307373,2554.638722,0.000000,25.844644,26.236538,6,6,6,0,9,15,113.84,0,459,3.01,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1133,359.616114,56.800765,359.615975,56.800661,1063,656,1062.710,655.623,1,+59177.8,1.0000,+443.162,adu,-11.9304,+0.0081,1,E,2579.870850,2598.409272,2580.642723,2572.462646,2580.842806,0.000000,32.171078,31.077202,6,6,6,0,9,15,113.84,0,459,4.38,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1134,359.278631,56.796187,359.276288,56.798395,380,655,375.471,663.274,1,+51120.1,1.0000,+610.993,adu,-11.7715,+0.0130,1,E,2583.684082,2571.058733,2597.698079,2566.268555,2598.382329,0.000000,59.694127,47.494585,6,6,6,0,9,15,113.84,0,447,4.30,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1135,359.115583,56.794050,359.115900,56.794105,50,656,50.645,656.182,1,+21345.1,1.0000,+352.336,adu,-10.8232,+0.0179,1,E,2565.581299,2578.709312,2566.312452,2565.948242,2566.454804,0.000000,27.060600,26.863301,6,6,6,0,9,15,113.84,0,453,4.41,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1136,359.275160,56.796409,359.276292,56.798394,373,656,375.478,663.272,1,+51120.1,1.0000,+610.993,adu,-11.7715,+0.0130,1,E,2583.684082,2571.058733,2597.698079,2566.057129,2598.382329,0.000000,59.694127,47.494585,6,6,6,0,9,15,113.84,0,447,4.51,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1137,359.171848,56.795989,359.171823,56.796167,164,660,163.966,660.661,1,+33204.2,1.0000,+913.132,adu,-11.3030,+0.0299,1,E,2582.968506,2587.303025,2640.807926,2560.040039,2646.272058,0.000000,170.159846,74.833862,6,6,6,0,9,15,113.84,0,445,4.39,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1138,359.305274,56.797373,359.305459,56.797449,434,658,434.380,658.271,1,+66244.0,1.0000,+915.720,adu,-12.0529,+0.0150,1,E,2589.291260,2589.855470,2632.172847,2566.030273,2635.602974,0.000000,134.573467,73.465229,6,6,6,0,9,15,113.84,0,443,4.33,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1139,359.411038,56.798256,359.414018,56.800899,648,656,654.258,665.614,1,+75384.6,1.0000,+460.633,adu,-12.1932,+0.0066,1,E,2578.652344,2581.949098,2581.798407,2568.902588,2582.056151,0.000000,36.522907,30.961567,6,6,6,0,9,15,113.84,0,449,3.21,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1140,359.413897,56.800731,359.414060,56.800898,654,665,654.343,665.608,1,+75444.1,1.0000,+460.697,adu,-12.1941,+0.0066,1,E,2578.652344,2581.949098,2581.798407,2568.868896,2582.056151,0.000000,36.522907,30.961567,6,6,6,0,9,15,113.84,0,449,4.34,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1141,359.276046,56.798588,359.276245,56.798397,375,664,375.383,663.284,1,+51069.5,1.0000,+610.951,adu,-11.7704,+0.0130,1,E,2583.684082,2571.058733,2597.698079,2565.913574,2598.382329,0.000000,59.694127,47.494585,6,6,6,0,9,15,113.84,0,447,4.43,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1142,359.287474,56.797395,359.287017,56.797398,398,659,397.075,659.036,1,+26529.4,1.0000,+475.048,adu,-11.0593,+0.0194,1,E,2572.256470,2579.133219,2582.482270,2566.192627,2582.947920,0.000000,49.098488,37.347852,6,6,6,0,9,15,113.84,0,448,4.39,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1143,359.115980,56.795952,359.115941,56.794104,51,663,50.728,656.178,1,+21346.9,1.0000,+352.339,adu,-10.8233,+0.0179,1,E,2565.581299,2578.709312,2566.312452,2567.125000,2566.454804,0.000000,27.060600,26.863301,6,6,6,0,9,15,113.84,0,453,8.16,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1144,359.187725,56.794871,359.185366,56.795669,196,655,191.309,658.077,1,+6457.48,1.0000,+362.864,adu,-9.5252,+0.0610,1,E,2563.188599,2552.278581,2566.563480,2560.607910,2566.750070,0.000000,30.983014,29.641426,6,6,6,0,9,15,113.84,0,452,2.23,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1145,359.285396,56.799532,359.285230,56.799274,394,667,393.640,666.053,1,+23878.5,1.0000,+506.105,adu,-10.9450,+0.0230,1,E,2571.082764,2560.104152,2581.981618,2565.943359,2582.494123,0.000000,51.504802,40.334448,6,6,6,0,9,15,113.84,0,448,4.72,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1146,359.540977,56.800426,359.540918,56.800497,911,658,910.885,658.264,1,+4838.60,1.0000,+320.821,adu,-9.2118,+0.0720,1,E,2573.903809,2572.169853,2575.491805,2573.713867,2575.642460,0.000000,27.888533,26.229160,6,6,6,0,9,15,113.84,0,451,0.87,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
