RAJ2000,DEJ2000,umag,gmag,Teff,Mass
5.460725, -0.9416060, 19.97, 20.09, 16667, 0.495
5.510356, -0.6374160, 18.68, 18.77, 15884, 0.854
5.531893, -10.2398770, 19.91, 19.78, 21493, 0.415
5.560539, 1.0892900, 19.56, 19.11, 11308, 0.695
5.618529, 0.5209800, 19.71, 19.23, 17079, 0.276
5.663510, -0.3950720, 19.23, 18.86, 14322, 0.472
5.696315, 15.4755290, 19.81, 19.86, 18947, 0.532
5.700130, 0.7080730, 20.90, 20.31, 6992, 0.219
5.763269, -0.7988270, 20.59, 20.14, 8085, 0.508
5.773195, -10.3276550, 20.52, 20.28, 20282, 0.583
5.787645, -0.5616970, 16.54, 16.27, 15990, 0.651
5.904213, 15.9080010, 20.19, 19.81, 13567, 0.759
6.126121, -9.1485950, 17.53, 17.47, 21603, 0.601
6.196466, 15.2430440, 19.07, 19.01, 24336, 0.526
6.211428, 0.3197010, 20.01, 19.62, 9370, 0.847
6.229020, -11.1286980, 19.72, 19.32, 14137, 0.569
6.289293, -10.6800480, 19.77, 19.48, 16998, 0.515
6.318523, -9.8773920, 18.31, 17.91, 10995, 0.849
6.322198, 0.5353520, 21.05, 20.48, 6566, 1.017
6.370664, -11.1230640, 19.21, 19.02, 17942, 0.573
6.394742, -10.4073950, 19.40, 19.72, 31480, 0.487
6.433118, 15.7590290, 19.27, 18.90, 12414, 0.691
6.436395, -9.4608780, 18.73, 18.36, 13030, 0.571
6.441481, 16.2430600, 18.85, 19.13, 37444, 0.652
6.487111, -9.5419880, 19.66, 19.19, 7879, 0.719
6.500965, -10.1321300, 20.05, 19.54, 12142, 0.554
6.509537, -10.6311160, 16.76, 16.22, 9955, 0.569
6.549758, -9.7703850, 18.68, 18.45, 19012, 0.576
6.571569, -10.4827460, 18.10, 17.83, 15117, 0.612
6.581373, -9.1863310, 20.03, 20.02, 21079, 0.530
6.641190, 0.9072020, 18.87, 18.92, 19550, 0.645
6.652017, -10.0584680, 18.06, 17.95, 19796, 0.540
6.680546, -0.7550650, 20.61, 20.36, 11735, 0.863
6.689665, -0.4254720, 17.92, 17.49, 7925, 0.532
6.707732, 0.8934710, 20.44, 20.01, 14237, 0.584
6.948764, 1.1125120, 20.07, 19.96, 20217, 0.532
7.013925, -0.2036780, 18.95, 18.42, 14797, 0.580
7.021439, 14.3873820, 20.10, 19.73, 8208, 0.935
7.027023, 1.0200570, 17.45, 17.55, 26737, 0.566
7.059448, 15.0249960, 20.79, 20.44, 8703, 0.866
7.134347, 15.2307030, 20.60, 20.03, 7753, 0.265
7.210667, 15.6527580, 20.93, 20.35, 10928, 0.749
7.328029, 16.2182620, 20.55, 20.04, 8585, 0.482
7.353209, 13.7906030, 20.27, 20.13, 20563, 0.909
7.356803, 0.2646620, 18.91, 18.48, 9947, 0.729
7.417001, 15.1561530, 20.55, 20.08, 12837, 0.746
7.427020, -11.1704260, 18.83, 18.33, 9328, 0.734
7.500170, -0.4608200, 20.14, 19.73, 10022, 0.785
7.726977, -9.4563870, 18.14, 18.14, 22692, 0.482
7.842816, 8.1556690, 19.39, 19.76, 47773, 0.734
7.894393, -0.3515140, 19.13, 18.92, 17506, 0.617
7.974741, 0.2388080, 19.77, 19.60, 18032, 0.536
8.009834, 15.9435460, 18.33, 18.35, 21884, 0.637
8.049984, 0.8119920, 18.74, 19.00, 30343, 0.557
8.125478, 0.1940110, 18.60, 18.62, 14690, 0.905
8.126919, -17.8898000, 16.83, 16.47, 12851, 0.629
8.133611, 15.5240420, 20.15, 19.77, 12362, 0.813
8.138314, 8.4538380, 20.33, 19.89, 9562, 0.936
8.179453, 14.3433150, 20.16, 20.24, 23409, 0.785
8.275826, 15.6076280, 20.07, 20.22, 31798, 0.752
8.393468, 8.4930210, 21.10, 20.62, 8089, 0.528
8.412819, 15.4258400, 20.70, 20.30, 12426, 0.721
8.486831, 6.4003030, 16.69, 16.72, 21474, 0.606
8.601867, 15.0312810, 20.52, 20.00, 10570, 0.887
8.603945, 6.9545360, 20.86, 20.35, 9964, 0.558
8.604650, 1.0666240, 19.94, 19.67, 14991, 0.829
8.612204, 15.3004920, 17.57, 16.98, 6776, 0.452
8.652734, 0.5282150, 18.47, 18.58, 15975, 0.674
8.688988, 15.4157920, 19.49, 19.73, 31266, 0.543
8.735526, -10.4876420, 19.29, 18.92, 9888, 0.651
8.776084, 7.6046260, 19.45, 19.31, 19573, 0.513
8.784431, 13.8459210, 16.42, 16.37, 22510, 0.422
8.801051, 13.9983990, 20.75, 20.33, 10535, 1.226
8.803147, 0.6273020, 19.56, 19.96, 34309, 0.563
8.996063, 1.1615150, 19.84, 19.39, 10696, 0.635
9.007565, 14.8097020, 19.56, 19.44, 21311, 0.572
9.115220, 24.5852260, 20.51, 20.16, 8708, 0.714
9.150079, 25.2217650, 20.79, 20.10, 6370, 0.637
9.173370, 24.3680680, 18.12, 17.74, 7832, 0.682
9.180691, 25.6849540, 18.13, 18.03, 20347, 0.613
9.209399, 24.5307290, 20.57, 20.36, 18327, 0.495
9.210055, 8.4387280, 19.93, 19.47, 7207, 0.471
9.243183, 15.0643980, 19.64, 19.46, 21079, 0.571
9.296203, 25.6623920, 19.87, 19.66, 16201, 0.579
9.329670, 0.5275760, 17.86, 17.48, 10957, 0.919
9.355594, 15.4590350, 19.40, 19.00, 8690, 0.720
9.377442, -0.2827330, 20.50, 19.97, 8946, 0.620
9.408417, -0.8776090, 18.83, 18.79, 19550, 0.664
9.485629, 24.3629330, 19.15, 18.90, 16077, 0.578
9.504984, 15.4771970, 17.52, 17.54, 22271, 0.664
