RAJ2000,DEJ2000,umag,gmag,Teff,Mass
6.318514,-9.877390,18.31,17.91,11106,
6.318523,-9.877392,18.31,17.91,10995,0.849
6.322198,0.535352,21.05,20.48,6566,1.017
6.370664,-11.123064,19.21,19.02,17942,0.573
6.381239,-11.133571,18.14,18.01,10202,
6.394742,-10.407395,19.40,19.72,31480,0.487
6.433118,15.759029,19.27,18.90,12414,0.691
6.436380,-9.460865,18.73,18.36,14537,
6.436395,-9.460878,18.73,18.36,13030,0.571
6.441481,16.243060,18.85,19.13,37444,0.652
6.487111,-9.541988,19.66,19.19,7879,0.719
6.500965,-10.132130,20.05,19.54,12142,0.554
6.509537,-10.631116,16.76,16.22,9955,0.569
6.549758,-9.770385,18.68,18.45,19012,0.576
6.571569,-10.482746,18.10,17.83,15117,0.612
6.581364,-9.186337,20.03,20.02,20956,
6.581373,-9.186331,20.03,20.02,21079,0.530
6.585051,14.735974,17.55,17.34,8914,
6.638294,-0.375042,20.09,19.63,7486,
6.641190,0.907202,18.87,18.92,19550,0.645
6.643299,35.560439,0.00,,8646,0.739
6.652017,-10.058468,18.06,17.95,19796,0.540
6.664450,-0.108482,0.00,,12034,
6.664450,-0.108482,0.00,,48555,
6.680546,-0.755065,20.61,20.36,11735,0.863
6.689665,-0.425472,17.92,17.49,7951,
6.689665,-0.425472,17.92,17.49,7925,0.532
6.707732,0.893471,20.44,20.01,14237,0.584
6.854437,-0.739850,21.04,20.04,6300,
6.860418,1.174878,20.97,20.34,6342,
6.914701,-0.294889,19.06,18.90,10390,
6.948764,1.112512,20.07,19.96,20217,0.532
6.958302,-0.173153,18.39,18.18,6300,
7.007005,0.360483,19.45,19.39,6328,
7.013925,-0.203678,18.95,18.42,14797,0.580
7.021439,14.387382,20.10,19.73,8208,0.935
7.027023,1.020057,17.45,17.55,26737,0.566
7.059448,15.024996,20.79,20.44,8703,0.866
7.134347,15.230703,20.60,20.03,7753,0.265
7.210667,15.652758,20.93,20.35,10928,0.749
7.239705,13.874923,20.47,20.37,12083,
7.293254,14.219516,21.27,20.71,6301,
7.328029,16.218262,20.55,20.04,8585,0.482
7.353209,13.790603,20.27,20.13,20563,0.909
7.356803,0.264662,18.91,18.48,9947,0.729
7.379828,15.661171,20.55,19.38,8883,
7.417001,15.156153,20.55,20.08,12837,0.746
7.427020,-11.170426,18.83,18.33,9328,0.734
7.500170,-0.460820,20.14,19.73,10022,0.785
7.513482,15.441485,17.30,17.42,16133,
7.522466,-0.330280,18.78,19.15,13808,
7.567307,14.868247,19.93,19.60,10265,
7.637987,7.115997,17.89,17.58,13077,
7.726977,-9.456387,18.14,18.14,22692,0.482
7.764587,7.382706,20.26,19.89,10100,
7.798950,13.822093,20.41,20.21,16953,
7.842816,8.155669,19.39,19.76,47773,0.734
7.894393,-0.351514,19.13,18.92,17506,0.617
7.974741,0.238808,19.77,19.60,18032,0.536
8.009834,15.943546,18.33,18.35,21884,0.637
8.049984,0.811992,18.74,19.00,30343,0.557
8.091106,7.659582,17.52,17.43,21392,
